Type ouvrage;Code ligne 1;Nom ligne 1;Propriétaire ligne 1;Etat;TENSION;Source donnée;Geo Shape;Nombre circuit;Code ligne 2;Nom ligne 2;Propriétaire ligne 2;Code ligne 3;Nom ligne 3;Propriétaire ligne 3;Code ligne 4;Nom ligne 4;Propriétaire ligne 4;Code ligne 5;Nom ligne 5;Proprietaire ligne 5;geo_point_2d
AERIEN;LUMESL61STENA;LIAISON 225kV N0 1 LUMES-STENAY;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[5.1997639268, 49.5084865469], [5.1997470537, 49.5091269868]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.50880676684999, 5.19975549025
AERIEN;L.SAUL32PYMON;LIAISON 63kV N0 2 LONS-LE-SAUNIER-PYMONT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[5.5627263818, 46.6921926054], [5.5621588837, 46.6924553976]], ""type"": ""LineString""}";1;;;;;;;;;;;;;46.6923240015, 5.56244263275
AERIEN;BLEREL41LARCA;LIAISON 90kV N0 1 BLERE-LARCAY;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[0.9649484934, 47.3092260288], [0.965239334, 47.3094336194]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.3093298241, 0.9650939137
AERIEN;GABIOL41SANDO;LIAISON 90kV N0 1 GABION-SANDOUVILLE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[0.2487310821, 49.4790661463], [0.2515683089, 49.4788501866]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.47895816645, 0.2501496955
AERIEN;NONANL41ZMAL6;LIAISON 90kV N0 1 DREUX - MALMAISON - NONANCOURT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[1.2151942723, 48.774480073], [1.2151728869, 48.7742108311]], ""type"": ""LineString""}";1;;;;;;;;;;;;;48.77434545205, 1.2151835796000001
AERIEN;TEMP6L21ZTEMP;LIAISON 45kV N0 1 SAUSSAZ II (LA)-ST-MICHEL-DE-MAURIENNE (CLIENT)-TEMPLE (LE)(METAL TEMPLE);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;45kV;RTE;"{""coordinates"": [[6.4623546918, 45.2206141771], [6.4622780346, 45.2205414443], [6.4635381316, 45.2195974638], [6.4666217381, 45.2162871366], [6.4685666054, 45.2162526879], [6.4699585324, 45.2156748615], [6.4710427081, 45.2149832533], [6.4715276056, 45.2129383933], [6.4732353443, 45.2114080581]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.2161450712961, 6.467964280631964
AERIEN;CXCONL32VLEVA;LIAISON 63kV N0 2 CHAUCONIN-VILLEVAUDE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[2.6922480828, 48.9167104284], [2.6952975426, 48.9186030645], [2.6988092709, 48.9208106533], [2.7012621689, 48.9223573181], [2.7055950514, 48.9215820602], [2.7110712004, 48.920606151], [2.7154010497, 48.9198287464], [2.7204247214, 48.9189376926], [2.7243500331, 48.9182417888], [2.7279544055, 48.9188867016], [2.7332315938, 48.9198374454], [2.7385035648, 48.9207762004], [2.7439148207, 48.9217483076], [2.7475188433, 48.9217190454], [2.7514784091, 48.9215556074], [2.7554159209, 48.9208092101], [2.7598097137, 48.9199746076], [2.764134241, 48.9190092371], [2.7687622603, 48.9184814521], [2.7727030837, 48.9184610805], [2.7761723424, 48.9195656237], [2.779297735, 48.9213628129], [2.7821182946, 48.9230207687], [2.7863072253, 48.9254482815], [2.7894331772, 48.9272595756], [2.7922204586, 48.9288749937], [2.7946333451, 48.9302721391], [2.7969878134, 48.9316348595], [2.7994608961, 48.9330536005], [2.8017379094, 48.9343766256], [2.8054056788, 48.93650577], [2.8080684966, 48.93805228], [2.8102234391, 48.9393003114], [2.8119761779, 48.9404154593], [2.8140533218, 48.9417423654], [2.8162243896, 48.9435208121], [2.818775382, 48.945600185], [2.819738841, 48.9480800164], [2.82066447, 48.9496703709], [2.8232756254, 48.9506948667], [2.8272774115, 48.9511206373], [2.8315823004, 48.951600645], [2.8355076491, 48.9520377798], [2.8402965722, 48.9518869029], [2.843947435, 48.9514986588], [2.8475302677, 48.9523666104], [2.8516378449, 48.9536540366], [2.8560812752, 48.955045187], [2.8574674702, 48.9555066454]], ""type"": ""LineString""}";2;VLEVAL32ZCXC5;LIAISON 63kV N0 2 CHAUCONIN - VILLEVAUDE - VILLENOY;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;48.93089151229184, 2.775924806007602
AERIEN;MALINL61RULHA;LIAISON 225kV N0 1 MALINTRAT-RULHAT;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[3.196314021, 45.8091280337], [3.1980472926, 45.8088097594], [3.2024866523, 45.8083364086], [3.2084408326, 45.8087398052], [3.2141813061, 45.8091045183], [3.2200686371, 45.8094839791], [3.2250272806, 45.8097921089], [3.2300854085, 45.8101223523], [3.2350468596, 45.8104453135], [3.2401654484, 45.8107514976], [3.2440141824, 45.8110088639], [3.2494909618, 45.8113471818], [3.2573584976, 45.8118473359], [3.2633726937, 45.8122279024], [3.2692379771, 45.8119024611], [3.269268959, 45.8123547108]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.810312866526424, 3.232979218179865
AERIEN;ALLEUL41BLOCA;LIAISON 90kV N0 1 ALLEUX (GRANDVILLIERS) - BLOCAUX;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[1.7822876781, 49.7715279979], [1.7868234751, 49.7708410431], [1.7917600652, 49.7702625825], [1.7966716176, 49.7696811156], [1.7994859581, 49.7677306161], [1.8024122254, 49.7653997967], [1.8047479849, 49.7630384727], [1.8064277708, 49.7616144306], [1.8088605461, 49.7596207241], [1.8120297752, 49.7570311873], [1.8144898411, 49.7550365784], [1.816660571, 49.7532606878], [1.8193729307, 49.7506806563], [1.8220997431, 49.7484256982], [1.8254950034, 49.7458232714], [1.8279838699, 49.7430588895]], ""type"": ""LineString""}";2;BLOCAL41FOUIL;LIAISON 90kV N0 1 BLOCAUX-FOUILLOY;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;49.76022852990621, 1.806519893035941
AERIEN;M.VIEL32PTCH5;RES. LIAISON 63kV N0 2  MOULIN-VIEUX - PONTCHARRA;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;HORS TENSION;RTE;"{""coordinates"": [[6.0299183828, 45.4325775424], [6.0305446913, 45.4327715994]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.4326745709, 6.03023153705
AERIEN;M.VIEL31PTCH5;RES. LIAISON 63kV N0 1  MOULIN-VIEUX - PONTCHARRA;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;HORS TENSION;RTE;"{""coordinates"": [[6.0299183826, 45.4325775388], [6.0292114635, 45.4324290152], [6.0277486226, 45.4316774196], [6.0256958222, 45.4308325626], [6.02301112, 45.4293586784], [6.0209338469, 45.4279405034]], ""type"": ""LineString""}";2;M.VIEL32PTCH5;RES. LIAISON 63kV N0 2  MOULIN-VIEUX - PONTCHARRA;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;45.43047883469048, 6.025319635232979
AERIEN;BOOS L42MANOI;LIAISON 90kV N0 2 BOOS - LE-MANOIR;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[1.2180371526, 49.3177930514], [1.2175714296, 49.3177776718], [1.2151408894, 49.3195931374]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.318565565781554, 1.2165489751542533
AERIEN;BAYETL31V.ALL;LIAISON 63kV N0 1 BAYET-VARENNES-SUR-ALLIER;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[3.2988888727, 46.2740393408], [3.3025093871, 46.2754637495]], ""type"": ""LineString""}";1;;;;;;;;;;;;;46.274751545149996, 3.3006991299
AERIEN;MOULAL72VIGY;LIAISON 400kV N0 2 MOULAINE - VIGY;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;400kV;RTE;"{""coordinates"": [[5.7903307862, 49.4819899452], [5.79115614, 49.4813782796], [5.7928143929, 49.4797113726]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.480891243299645, 5.791607677393573
AERIEN;LOUISL41ZPICT;LIAISON 90kV N0 1 LOUISFERT - MESSAC - PAS (LE);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[-1.3811035283, 47.7524075276], [-1.3839953062, 47.7546699623], [-1.386947784, 47.7571445936], [-1.3898316356, 47.7595621948], [-1.3924421589, 47.7617430359], [-1.3954637526, 47.7642698178], [-1.3987340279, 47.7670008665], [-1.4017048238, 47.7694879822], [-1.4042579453, 47.7716247733], [-1.4072881434, 47.7741283997], [-1.4104104307, 47.7767060654], [-1.4147460265, 47.7803610865], [-1.4178869476, 47.7828801638], [-1.4212011948, 47.78577579], [-1.4234614653, 47.7877510121], [-1.4263390444, 47.7900211337], [-1.4292710255, 47.7924739222], [-1.4321028198, 47.794831289], [-1.4347292934, 47.7970322634], [-1.4375428864, 47.7989250436], [-1.4408888622, 47.8012131628], [-1.443800831, 47.8031877025], [-1.4468301099, 47.8052352628], [-1.4495940703, 47.8070981399], [-1.4534976086, 47.8097360791], [-1.4565864782, 47.8118098292], [-1.4598308697, 47.8140374511], [-1.4636827344, 47.8166356075], [-1.4666370136, 47.8186314699], [-1.4704334828, 47.8212008817], [-1.4738291127, 47.8235051415], [-1.4776064582, 47.8260497509], [-1.481340235, 47.8285783849], [-1.484987344, 47.831031412], [-1.4890459873, 47.8337706732], [-1.4928214984, 47.8363246094], [-1.4962190636, 47.8386225277], [-1.4996947713, 47.8409610043], [-1.5028039128, 47.8430728427], [-1.5071567264, 47.8460053361], [-1.510500166, 47.8482587346], [-1.5139088764, 47.8507430985], [-1.5174470403, 47.8533104343], [-1.5215149886, 47.8562761504], [-1.5233201488, 47.8575454753]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.80645961700648, -1.4510876191175102
AERIEN;GUEBWL31M.LOU;LIAISON 63kV N0 1 GUEBWILLER-MARIE-LOUISE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[7.2658074927, 47.8282053577], [7.2647190425, 47.8280187958], [7.2603384192, 47.8278040558], [7.2572118043, 47.8293562728], [7.2566633016, 47.82962677], [7.2528381174, 47.8314529779], [7.2512313793, 47.8344233894], [7.2497169306, 47.837245345], [7.2480930532, 47.8402568702], [7.2465295338, 47.8431391283], [7.2449993955, 47.8460381496], [7.2433782724, 47.8490576578], [7.2417679351, 47.8520136011], [7.2402907231, 47.854777213], [7.2392645435, 47.8567340367], [7.2392438399, 47.859645088], [7.2392206015, 47.8627409605], [7.2392372783, 47.86581821], [7.2392154693, 47.8689338359], [7.2391944801, 47.8719746345], [7.2391924764, 47.8749010964], [7.2391677867, 47.8778789664], [7.2391742596, 47.8808448001], [7.2391390006, 47.8838257183], [7.2368322873, 47.8867011625], [7.2347367372, 47.8892878207], [7.232320305, 47.8922897532], [7.2307434523, 47.8942428409], [7.2293900338, 47.8959247835], [7.2282131345, 47.8967116033], [7.2264155444, 47.8982373995], [7.2262737425, 47.8984640924]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.860078082719504, 7.243120816892014
